"Id Producto","Nombre del Producto","Descripción","Categoría","Sub Categoría","Unidad o medida","Imagen","Codificación Estandarizada GTIN (Barcode,ISBN..)","Proveedor","Stock Mínimo","Ubicación en almacen","Notas","Activo","Stockout","Existencias","Costo Promedio","Precio Promedio","Detalle de Movimientos","Organización","Cód Fabrc/Parte","Producto","Label Produto","Label Producto Warning","Fecha de Registro","Registrado por:","Sugerido de Compra","Caja Requerida","Tomas físicas","% Stock de Seguridad","Alerta de Reposición","Alerta de Codigo Duplicado","Alerta de Código duplicado","F. Solicitud","Inventario Meta","S.C.","Código QR","Codigo QR","F. Solicitud de Ficha","Codigo de Barra","Código","Related tbl_toma_fisica_details By code_scan_inner","Related tbl_transaccion_details By code_scan_inner","Existences_check",
"8200692605","VALVULA IAC","VALVULA IAC RENAULT TWINGO/ SYMBOL/ LOGAN","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","9","","Inventario Inicial: 42.","Y","N","251","$5.42","$5.42","unf0004 , unf0012 , UNQS0017 , UNQS0025 , UNQe0017 , UNQe0025","V123456789 Sano y fresco","8200692605","","VALVULA IAC [8200692605]","VALVULA IAC 8200692605","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","12","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=8200692605&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8200692605&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8200692605&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8200692605&code=Code128","","unf0004 , unf0012 , UNQS0017 , UNQS0025 , UNQe0017 , UNQe0025","Y",
"12553175","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE CHEVROLET CHEYENE","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","7","","Inventario Inicial: 40.","Y","Y","5","$5.69","$11.43","unf0010 , unf0018 , UNQS0023 , UNQS0031 , UNQe0023 , UNQe0031 , 52ad200c","V123456789 Sano y fresco","12553175","Stockout","VALVULA PRESION ACEITE [12553175]","VALVULA PRESION ACEITE 12553175","6/19/2025 12:00:00 AM","Administrador","4","$22.76","","25%","N","N","","","9","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=12553175&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=12553175&code=Code128","6/25/2025 4:58:05 PM","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=12553175&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=12553175&code=Code128","","unf0010 , unf0018 , UNQS0023 , UNQS0031 , UNQe0023 , UNQe0031 , 52ad200c","Y",
"465Q-S0391FB","VALVULA IAC","VALVULA IAC CHERY QQ/ ARAUCA/ X1/ CHANA/ NOMADA/ WUILLING/ TURPIAL","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","Inventario Inicial: 24.","Y","Y","2","$5.96","$5.96","unf0009 , UNQS0022 , UNQe0022","V123456789 Sano y fresco","465Q-S0391FB","Stockout","VALVULA IAC [465Q-S0391FB]","VALVULA IAC 465Q-S0391FB","6/19/2025 12:00:00 AM","Administrador","1","$5.96","","25%","N","N","","6/25/2025 12:34:23 PM","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=465Q-S0391FB&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=465Q-S0391FB&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=465Q-S0391FB&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=465Q-S0391FB&code=Code128","","unf0009 , UNQS0022 , UNQe0022","Y",
"83530-60020","VALVULA PRESION ACEITE TOYOTA","VALVULA PRESION ACEITE TOYOTA 4RUNNER/PRADO/MERU (1 PIN PLANO-NEGRA Y GRIS)(83530-28020) (83520-0E010)	 6.72 	22	0	22","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","10","","","Y","N","21","$3.78","$3.78","unf0016 , UNQS0029 , UNQe0029","V123456789 Sano y fresco","83530-60020","","VALVULA PRESION ACEITE TOYOTA [83530-60020]","VALVULA PRESION ACEITE TOYOTA 83530-60020","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","13","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=83530-60020&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=83530-60020&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=83530-60020&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=83530-60020&code=Code128","","unf0016 , UNQS0029 , UNQe0029","Y",
"83530-60040","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE TERIOS/COROLLA/STARLET/AVILA/ARAYA/ CAMRY/ SKY/ MONTERO/ LANCER/ TUCSON/ ELANTRA/GETZ 1 PIN PLANO	 4.69 	33	26	7","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","","Y","N","1,256","$7.05","$7.05","unf0011 , UNQS0024 , UNQe0024","V123456789 Sano y fresco","83530-60040","","VALVULA PRESION ACEITE [83530-60040]","VALVULA PRESION ACEITE 83530-60040","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=83530-60040&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=83530-60040&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=83530-60040&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=83530-60040&code=Code128","","unf0011 , UNQS0024 , UNQe0024","Y",
"55354325","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE CHEVROLET CRUZE/ORLANDO (1 PIN)","Automotriz","Partes Motor","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","Inventario Inicial: 349","Y","N","42","$2.69","$2.69","unf0014 , UNQS0027 , UNQe0027","V123456789 Sano y fresco","55354325","","VALVULA PRESION ACEITE [55354325]","VALVULA PRESION ACEITE 55354325","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=55354325&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=55354325&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=55354325&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=55354325&code=Code128","","unf0014 , UNQS0027 , UNQe0027","Y",
"96325864GM","VALVULA TEMPERATURA CHEVROLET SPARK","VALVULA TEMPERATURA CHEVROLET SPARK 1.0 (2 PINES)	 2.39 	55	0	55","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","","Y","N","20","$7.05","$7.05","3F5B5FCB , UNQS0005 , UNQe0005","V123456789 Sano y fresco","96325864GM","","VALVULA TEMPERATURA CHEVROLET SPARK [96325864GM]","VALVULA TEMPERATURA CHEVROLET SPARK 96325864GM","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=96325864GM&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96325864GM&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96325864GM&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96325864GM&code=Code128","","3F5B5FCB , UNQS0005 , UNQe0005","Y",
"XS6E-12A648-BA","VALVULA TEMPERATURA FORD FIESTA","VALVULA TEMPERATURA FORD FIESTA POWER 1.6	 2.39 	90	0	90","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","","Y","N","136","$4.33","$4.33","unf0017 , UNQS0030 , UNQe0030","V123456789 Sano y fresco","XS6E-12A648-BA","","VALVULA TEMPERATURA FORD FIESTA [XS6E-12A648-BA]","VALVULA TEMPERATURA FORD FIESTA XS6E-12A648-BA","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=XS6E-12A648-BA&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=XS6E-12A648-BA&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=XS6E-12A648-BA&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=XS6E-12A648-BA&code=Code128","","unf0017 , UNQS0030 , UNQe0030","Y",
"015301960AA","VALVULA RETROCESO CHERY","VALVULA RETROCESO CHERY ARAUCA/X1/QQ6/ORINOCO/TIGGO	 4.64 	69	1	68","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","A123","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","","Y","N","335","$11.59","$10.78","unf0015 , UNQS0028 , UNQe0028 , e7c98cde , ab6a1f80 , a838c971 , 16b09dfd , 7eed867e , bc4c60e6 , fa1b3ea1","V123456789 Sano y fresco","015301960AA","","VALVULA RETROCESO CHERY [015301960AA]","VALVULA RETROCESO CHERY 015301960AA","6/19/2025 12:00:00 AM","Administrador","0","$0.00","3109baaa","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=015301960AA&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=015301960AA&code=Code128","6/26/2025 2:55:46 PM","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=015301960AA&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=015301960AA&code=Code128","","unf0015 , UNQS0028 , UNQe0028 , e7c98cde , ab6a1f80 , a838c971 , 16b09dfd , fa1b3ea1","Y",
"PT-0153019660AA-03","VALVULA RETROCESO CHERY","VALVULA RETROCESO CHERY ARAUCA/X1/ORINICO/QQ6 	 3.68 	89	0	89","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","12","","","Y","N","142","$3.78","$3.78","DFD0A413 , UNQS0081 , UNQe0081","V123456789 Sano y fresco","PT-0153019660AA-03","","VALVULA RETROCESO CHERY [PT-0153019660AA-03]","VALVULA RETROCESO CHERY PT-0153019660AA-03","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","15","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=PT-0153019660AA-03&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=PT-0153019660AA-03&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=PT-0153019660AA-03&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=PT-0153019660AA-03&code=Code128","","DFD0A413 , UNQS0081 , UNQe0081","Y",
"98AB-9278-CA","VALVULA PRESION ACEITE FORD","VALVULA PRESION ACEITE FORD FIESTA/ FOCUS/KA/EXPLORER/TRITON/ECOSPORT/FX4 FORD	 2.24 	155	2	153","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","","Y","N","400","$7.60","$7.60","40BF361B , UNQS0068 , UNQe0068","V123456789 Sano y fresco","98AB-9278-CA","","VALVULA PRESION ACEITE FORD [98AB-9278-CA]","VALVULA PRESION ACEITE FORD 98AB-9278-CA","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=98AB-9278-CA&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=98AB-9278-CA&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=98AB-9278-CA&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=98AB-9278-CA&code=Code128","","40BF361B , UNQS0068 , UNQe0068","Y",
"A11-3617011A","VALVULA TEMPERATURA CHERY","VALVULA TEMPERATURA CHERY ARAUCA 1.3/ORINOCO 1.8	 9.02 	19	4	15","Automotriz","Valvulas","PZA","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","4","","","Y","N","1,256","$2.69","$2.69","4F89B46C , UNQS0069 , UNQe0069","V123456789 Sano y fresco","A11-3617011A","","VALVULA TEMPERATURA CHERY [A11-3617011A]","VALVULA TEMPERATURA CHERY A11-3617011A","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","5","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=A11-3617011A&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=A11-3617011A&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=A11-3617011A&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=A11-3617011A&code=Code128","","4F89B46C , UNQS0069 , UNQe0069","Y",
"96661546","AMORTIGUADOR COMPUERTA MALETA CHEVROLET CAPTIVA","AMORTIGUADOR COMPUERTA MALETA CHEVROLET CAPTIVA 08=>15 DER/IZQ","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","Stock inicial: 12","Y","N","349","$5.96","$5.96","F5ED9DEE , UNQS0012 , UNQe0012","V123456789 Sano y fresco","96661546","","AMORTIGUADOR COMPUERTA MALETA CHEVROLET CAPTIVA [96661546]","AMORTIGUADOR COMPUERTA MALETA CHEVROLET CAPTIVA 96661546","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=96661546&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96661546&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96661546&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96661546&code=Code128","","F5ED9DEE , UNQS0012 , UNQe0012","Y",
